test.group,test.fold,train.groups,coef,variable
GL,1,all,-0.000955538115649065,K00045
GL,1,all,0.000489190023106364,K00297
GL,1,all,-4.81848637519168e-05,K00366
GL,1,all,-0.0004078404665381,K00374
GL,1,all,-0.000419513001569537,K00469
GL,1,all,0.000910285101949155,K00737
GL,1,all,-0.000421151438370864,K00759
GL,1,all,-6.93921542802841e-05,K00772
GL,1,all,0.00333656491372547,K00785
GL,1,all,0.00121566862634368,K00794
GL,1,all,-0.00016598481761174,K00848
GL,1,all,6.53524346615049e-05,K01278
GL,1,all,0.00741596251884388,K01347
GL,1,all,9.828224529553e-05,K01633
GL,1,all,2.09202855858142e-06,K01679
GL,1,all,0.000476938449503647,K01697
GL,1,all,-0.000796765653933334,K01720
GL,1,all,0.000139887068117173,K01782
GL,1,all,-4.17726435808927e-05,K01816
GL,1,all,0.000431487625534813,K01905
GL,1,all,0.00213593372115388,K01966
GL,1,all,-0.000192691275567674,K02351
GL,1,all,-0.000136642571708831,K02391
GL,1,all,-3.46875993054434e-06,K02398
GL,1,all,-0.000737072564092755,K02587
GL,1,all,0.000572423697250924,K02613
GL,1,all,-0.000239774648035476,K02619
GL,1,all,0.00230255741227172,K02673
GL,1,all,0.00395989074949231,K03170
GL,1,all,0.00451444652284584,K03287
GL,1,all,-0.00114352137331829,K03394
GL,1,all,-0.000546518466409382,K03409
GL,1,all,-9.4684433285783e-06,K03497
GL,1,all,0.000914508452622035,K03570
GL,1,all,0.000121829158586548,K03711
GL,1,all,-0.000334552715123137,K03716
GL,1,all,0.00311712044056979,K03791
GL,1,all,0.00320080321269467,K04060
GL,1,all,0.0103053834492602,K05275
GL,1,all,0.000520833645668106,K05301
GL,1,all,-0.000394553949080183,K05580
GL,1,all,1.39387087661985e-07,K05600
GL,1,all,-0.0019192376922983,K05714
GL,1,all,0.000923276569202177,K05792
GL,1,all,-0.000256327715996125,K05946
GL,1,all,0.019369134733975,K05998
GL,1,all,0.0383756791494342,K06882
GL,1,all,0.000574905951577509,K06911
GL,1,all,-0.0017594239592357,K07018
GL,1,all,0.00194128751572983,K07020
GL,1,all,-1.88166952745137e-05,K07141
GL,1,all,0.0123529800703572,K07256
GL,1,all,0.000181112273291056,K07268
GL,1,all,-0.000577656152847405,K07289
GL,1,all,-0.000798041147637056,K07334
GL,1,all,0.00902952199989227,K07351
GL,1,all,0.00307110199307476,K07400
GL,1,all,0.00237762269718188,K07485
GL,1,all,1.44474071989204e-05,K08077
GL,1,all,-0.00119994865427214,K08323
GL,1,all,0.0104528194446672,K08475
GL,1,all,-0.000798470191819838,K08591
GL,1,all,0.000766855120023776,K08659
GL,1,all,0.00071525674880068,K09384
GL,1,all,-0.000595057589454642,K09386
GL,1,all,0.000807544968041192,K09461
GL,1,all,0.00242407076538458,K09516
GL,1,all,-0.00290380564833337,K09943
GL,1,all,-0.000358276249752602,K09949
GL,1,all,-0.000384358266431304,K09966
GL,1,all,-0.000101633701136106,K10206
GL,1,all,0.00320048546151985,K10212
GL,1,all,0.0045792939871019,K10622
GL,1,all,-9.31608677537031e-05,K11065
GL,1,all,0.0482151452443766,K11169
GL,1,all,0.000152780380074162,K11175
GL,1,all,-0.000519240401778978,K11473
GL,1,all,0.00894219738290786,K11905
GL,1,all,0.00480232131255664,K11956
GL,1,all,6.33050787885218e-05,K12191
GL,1,all,0.000916041473723611,K12420
GL,1,all,-0.00109079245513603,K12452
GL,1,all,-0.000392843216209998,K12466
GL,1,all,0.0225325289842816,K12585
GL,1,all,0.000421500554581013,K12686
GL,1,all,1.14631120496756e-05,K12962
GL,1,all,0.000517706659693351,K12996
GL,1,all,2.46282945643371e-16,K12997
GL,1,all,-0.000690281933422568,K13017
GL,1,all,-2.8409447788428e-05,K13421
GL,1,all,0.00296267306794259,K13727
GL,1,all,0.000686456679714153,K13928
GL,1,all,0.000445715455224097,K14161
GL,1,all,0.00950457465910671,K14249
